"MARKET","SITE","CXR","DDATE","RDATE","DSTP","RSTP","TYPE","BASE","TAXES","FARE","FEE","CURRENCY","QTS","REFERENCE","DCXR","RCXR","DFLIGHT","RFLIGHT","DTIME","RTIME","DROUTE","RROUTE","FLIGHT_CLASS","PASSENGERS","DBOOKING_CLASS","RBOOKING_CLASS","DOPERATING_CXR","ROPERATING_CXR","FIRST_PAGE_PRICE","DDURATION","RDURATION","FUEL_SURCHARGE","DCXRFLIGHT","RCXRFLIGHT","RESPONSE_TIME","PRICED_IN"
"HKGBKK","CTR_HK","HX","08/16/16","08/19/16","0","0","Economy class","1070","293","1364","0","HKD","07/26/16 00:03","","HX","HX","765","762","18:00","04:15","18:00 - HKG :: 19:50 - BKK","04:15 - BKK :: 08:20 - HKG","E","2","","","","","1364","2:50","3:5","0","HX765","HX762","",""
"HKGBKK","ZUK","HX","08/16/16","08/19/16","0","0","Economy","1095","343","1438","0","HKD","07/26/16 00:02","","HX","HX","765","768","18:00","08:25","18:00 - HKG :: 19:50 - BKK","08:25 - BKK :: 12:10 - HKG","E","2","","","HX","HX","1438","","","","HX765","HX768","",""
"HKGBKK","HGO","HX","08/16/16","08/19/16","0","0","Economy","1120","343","1463","0","HKD","07/26/16 00:02","","HX","HX","765","768","18:00","08:25","18:00 - HKG :: 19:50 - BKK","08:25 - BKK :: 12:10 - HKG","E","2","","","","","1120","","","","HX765","HX768","",""
"HKGBKK","CHP_HK","HX","08/16/16","08/19/16","0","0","ECONOMY","1150","347.33","1497.33","0","HKD","07/26/16 00:03","","HX","HX","769","780","00:35","03:35","00:35 - HKG :: 02:35 - BKK","03:35 - BKK :: 08:00 - HKG","E","2","","","","","1497.33","03:00","03:25","","HX769","HX780","",""
"HKGBKK","EXP_HK","HX","08/16/16","08/19/16","0","0","Coach","1222.15","293","1515.15","0","HKD","07/26/16 00:02","","HX","HX","769","768","00:35","08:25","00:35 - HKG :: 02:35 - BKK","08:25 - BKK :: 12:10 - HKG","E","2","X","X","","","1515.15","03:00","02:45","","HX769","HX768","",""
"HKGBKK","ZUK","CX","08/16/16","08/19/16","0","0","Economy","1457","343","1800","0","HKD","07/26/16 00:02","","CX","CX","709","616","22:25","06:40","22:25 - HKG :: 00:15 - BKK","06:40 - BKK :: 10:25 - HKG","E","2","","","CX","CX","1800","","","","CX709","CX616","",""
"HKGBKK","CTR_HK","CX","08/16/16","08/19/16","0","0","Economy class","1509","293","1803","0","HKD","07/26/16 00:03","","CX","CX","709","700","22:25","08:15","22:25 - HKG :: 00:15 - BKK","08:15 - BKK :: 12:15 - HKG","E","2","","","","","1803","2:50","3:00","0","CX709","CX700","",""
"HKGBKK","HGO","CX","08/16/16","08/19/16","0","0","Economy","1487","343","1830","0","HKD","07/26/16 00:02","","CX","CX","709","706","22:25","01:20","22:25 - HKG :: 00:15 - BKK","01:20 - BKK :: 05:10 - HKG","E","2","","","","","1487","","","","CX709","CX706","",""
"HKGBKK","EXP_HK","CX","08/16/16","08/19/16","0","0","Coach","1537.5","293","1830.5","0","HKD","07/26/16 00:02","","CX","CX","709","616","22:25","06:40","22:25 - HKG :: 00:15 - BKK","06:40 - BKK :: 10:25 - HKG","E","2","O","O","","","1830.5","02:50","02:45","","CX709","CX616","",""
"HKGBKK","CHP_HK","CX","08/16/16","08/19/16","0","0","ECONOMY","1500","352.21","1852.21","0","HKD","07/26/16 00:03","","CX","CX","709","706","22:25","01:20","22:25 - HKG :: 00:15 - BKK","01:20 - BKK :: 05:10 - HKG","E","2","","","","","1852.21","02:50","02:50","","CX709","CX706","",""
