"MARKET","SITE","CXR","DDATE","RDATE","DSTP","RSTP","TYPE","BASE","TAXES","FARE","FEE","CURRENCY","QTS","REFERENCE","DCXR","RCXR","DFLIGHT","RFLIGHT","DTIME","RTIME","DROUTE","RROUTE","FLIGHT_CLASS","PASSENGERS","DBOOKING_CLASS","RBOOKING_CLASS","DOPERATING_CXR","ROPERATING_CXR","FIRST_PAGE_PRICE","DDURATION","RDURATION","FUEL_SURCHARGE","DCXRFLIGHT","RCXRFLIGHT","RESPONSE_TIME","PRICED_IN"
"DPSSIN","CHP_SG","GA","08/09/16","08/15/16","1","0","ECONOMY","238","133.93","371.93","0","SGD","07/25/16 16:01","","GA - GA","GA","439 - 822","841","16:05","17:00","16:05 - DPS :: 17:05 - CGK / 20:40 - CGK :: 23:30 - SIN","17:00 - SIN :: 19:55 - DPS","E","1","","","","","371.93","07:25","02:55","","GA439 - GA822","GA841","",""
"DPSSIN","XPSG_LIVE","GA","08/09/16","08/15/16","1","0","Coach","240","139","379","0","SGD","07/25/16 16:03","","GA - GA","GA","407 - 822","841","12:00","17:00","12:00 - DPS :: 12:55 - CGK / 20:40 - CGK :: 23:30 - SIN","17:00 - SIN :: 19:55 - DPS","E","1","B - V","S","","","379","11:30","02:55","","GA407 - GA822","GA841","",""
"DPSSIN","SKO_SG","GA","08/09/16","08/15/16","1","0","","242.4","139","381.4","0","SGD","07/25/16 16:02","","GA - GA","GA","403 - 834","841","09:25","17:00","09:25 - DPS :: 10:25 - CGK / 13:45 - CGK :: 16:35 - SIN","17:00 - SIN :: 19:55 - DPS","E","1","","","GA - GA","GA","381.4","07:10","02:55","","GA403 - GA834","GA841","",""
"DPSSIN","ZUP","GA","08/09/16","08/15/16","1","0","Economy","264.1","138.9","403","","SGD","07/25/16 16:01","","GA - GA","GA","407 - 836","841","12:00","17:00","12:00 - DPS :: 12:55 - CGK / 14:45 - CGK :: 17:45 - SIN","17:00 - SIN :: 19:55 - DPS","E","1","","","GA - GA","GA","","","","","GA407 - GA836","GA841","",""
"DPSSIN","AEG","GA","08/09/16","08/15/16","1","0","ECONOMY","278.78","139","417.78","0","SGD","07/25/16 16:01","","GA - GA","GA","0439 - 0822","0841","16:05","17:00","16:05 - DPS :: 17:05 - CGK / 20:40 - CGK :: 23:30 - SIN","17:00 - SIN :: 19:55 - DPS","E","1","","","","","417.78","07:25","02:55","","GA0439 - GA0822","GA0841","Interstitial : 1; Listpage1 : 29",""
"KULSIN","ZUP","MH","08/09/16","08/15/16","0","0","Economy","75.4","62.6","138","","SGD","07/25/16 16:01","","MH","MH","5477","5472","06:55","21:40","06:55 - SZB :: 08:10 - SIN","21:40 - SIN :: 22:55 - SZB","E","1","","","FY","FY","","","","","MH5477","MH5472","",""
"KULSIN","SKO_SG","MH","08/09/16","08/15/16","0","0","","85.85","62.6","148.45","0","SGD","07/25/16 16:02","","MH","MH","5477","5478","06:55","14:40","06:55 - SZB :: 08:10 - SIN","14:40 - SIN :: 16:00 - SZB","E","1","","","FY","FY","148.45","01:15","01:20","","MH5477","MH5478","",""
"KULSIN","CHP_SG","MH","08/09/16","08/15/16","0","0","ECONOMY","85","65.01","150.01","0","SGD","07/25/16 16:01","","MH","MH","5477","5482","06:55","12:30","06:55 - SZB :: 08:10 - SIN","12:30 - SIN :: 13:50 - SZB","E","1","","","FY","FY","150.01","01:15","01:20","","MH5477","MH5482","",""
"KULSIN","XPSG_LIVE","MH","08/09/16","08/15/16","0","0","Coach","115","57","172","0","SGD","07/25/16 16:04","","MH","MH","627","604","10:15","09:50","10:15 - KUL :: 11:25 - SIN","09:50 - SIN :: 10:50 - KUL","E","1","N","N","","","172","01:10","01:00","","MH627","MH604","",""
"KULSIN","AEG","MH","08/09/16","08/15/16","0","0","ECONOMY","118.81","62.6","181.41","0","SGD","07/25/16 16:02","","MH","MH","5477","5482","06:55","12:30","06:55 - SZB :: 08:10 - SIN","12:30 - SIN :: 13:50 - SZB","E","1","","","FY","FY","181.41","01:15","01:20","","MH5477","MH5482","Interstitial : 1; Listpage1 : 25",""
